,Temperature,forecasts,Humidity
0,17°,Partly Cloudy,43%
1,16°,Mostly Clear,32%
2,16°,Mostly Clear,44%
3,15°,Clear,28%
4,14°,Clear,45%
5,15°,Sunny,25%
6,19°,Sunny,46%
7,23°,Sunny,11%
8,25°,Sunny,48%
9,27°,Sunny,11%
10,28°,Sunny,52%
11,29°,Sunny,11%
12,29°,Sunny,43%
13,29°,Sunny,11%
14,28°,Sunny,34%
15,27°,Sunny,11%
16,24°,Sunny,29%
17,21°,Mostly Clear,11%
18,20°,Clear,24%
19,19°,Clear,11%
20,19°,Clear,21%
21,18°,Clear,12%
22,18°,Clear,19%
23,17°,Clear,13%
24,17°,Clear,19%
25,16°,Clear,15%
26,16°,Clear,20%
27,16°,Clear,17%
28,16°,Clear,21%
29,17°,Sunny,19%
30,20°,Sunny,23%
31,23°,Sunny,17%
32,26°,Mostly Sunny,32%
33,27°,Partly Cloudy,16%
34,28°,Partly Cloudy,38%
35,29°,Partly Cloudy,21%
36,30°,Partly Cloudy,42%
37,30°,Partly Cloudy,15%
38,30°,Mostly Cloudy,43%
39,28°,Mostly Cloudy,15%
40,25°,Mostly Cloudy,43%
41,23°,Cloudy,15%
42,23°,Cloudy,44%
43,22°,Cloudy,15%
44,21°,Cloudy,45%
45,21°,Cloudy,15%
46,21°,Cloudy,45%
47,21°,Cloudy,15%
